,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
1412,WW T22 3AI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.47,1.69,1.60,85-87
558,NBC /66 YI BRETT #46,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.70,1.70,1.52,"78,79"
902,NBC R65/66 Y0 BETTY #10,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.20,1.70,1.44,"78,79"
943,NBC R65/66 YI DAN #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,5.27,1.70,1.84,"78,79"
1466,WW T26 4AII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,5.58,1.70,1.75,85-87
335,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.36,1.70,1.31,"60,67"
683,NBC 7.2.79 PAT SQ 2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4500,4,4.53,1.70,1.55,"78,79"
715,NBC 79 VAL SQ6 #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6200,4,4.52,1.70,1.53,"78,79"
1215,WW O-P 19-24 4C NO LABEL #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.21,1.70,1.41,85-87
1254,WW Q23 4CII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.15,1.70,1.61,85-87
1317,WW S22 4B TUFA5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.58,1.70,1.58,85-87
