,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
873,NBC R65/66 BII CHRIS #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.73,1.58,1.47,"78,79"
1013,NBC XO BETTY #46,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.59,1.58,1.26,"78,79"
1033,NBC XO BRETT #17,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.50,1.58,1.17,"78,79"
1255,WW Q23 4CII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.17,1.58,1.72,85-87
1274,WW R22 4B TUFA5 #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.60,1.58,1.30,85-87
1286,WW R23 4A LH #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,4.71,1.58,1.24,85-87
4,APOLLO 238 A8X^4/+26,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,14870,14870,3,4.85,1.59,1.92,56-58
753,NBC R 65/66 YI DAN #16,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.52,1.59,1.54,"78,79"
874,NBC R65/66 BII CHRIS #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,3.62,1.59,1.39,"78,79"
992,NBC XO BETTY #27,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.27,1.59,1.36,"78,79"
1009,NBC XO BETTY #42,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.82,1.59,1.40,"78,79"
1046,NBC YIII DAVID #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.40,1.59,1.38,"78,79"
1288,WW R23 4A LH^2 #2.1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,3.73,1.59,1.35,85-87
1332,WW S23 4AIII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.14,1.59,1.48,85-87
1427,WW T23 3B #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,4.35,1.59,1.79,85-87
263,EYMU-05 6 II 1(1) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,357,357,5,5.52,1.59,2.05,75-77
858,NBC R65/66 AO CHARLES #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,3.98,1.59,1.34,"78,79"
913,NBC R65/66 Y0 BETTY #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.26,1.59,1.51,"78,79"
996,NBC XO BETTY #30,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.18,1.59,1.52,"78,79"
399,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.24,1.59,1.71,"60,67"
423,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.50,1.59,2.1,"60,67"
879,NBC R65/66 BII DAN #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,3.85,1.59,1.22,"78,79"
700,NBC '79 SQ5 VADIM #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.78,1.60,1.74,"78,79"
723,NBC 8.1.71 CO EDWARD,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.68,1.60,1.67,"78,79"
850,NBC R65/66 AII BERT #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,3.37,1.60,1.42,"78,79"
1425,WW T23 3B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,4.62,1.60,1.35,85-87
760,NBC R 65/66 YI DAN #23,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,3.53,1.60,1.33,"78,79"
1366,WW S27 4AI #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.57,1.60,1.41,85-87
885,NBC R65/66 BIII BERT #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,3.55,1.60,1.42,"78,79"
929,NBC R65/66 YI BETTY#21,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.53,1.60,1.34,"78,79"
1150,Witklip 3,Witklip,South Africa,Southern Africa,Published measurements,,,1600,5,4.70,1.60,N/A,"68,69"
1151,Witklip 4,Witklip,South Africa,Southern Africa,Published measurements,,,3000,4,4.40,1.60,N/A,"68,69"
1207,WW O24 4B  #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.45,1.60,1.37,85-87
1318,WW S22 4CI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.07,1.60,1.61,85-87
1442,WW T24 4BI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.38,1.60,1.06,85-87
1491,WW T28 3BII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,4.71,1.60,1.65,85-87
1511,WW T31 4A+B #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.64,1.60,1.24,85-87
645,NBC 27.12.70 B-I BOB #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.48,1.61,1.60,"78,79"
781,NBC R65.66 AO BOB #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.14,1.61,1.59,"78,79"
914,NBC R65/66 Y0 BETTY #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.13,1.61,1.09,"78,79"
1178,WW O19 3 #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.90,1.61,1.69,85-87
1373,WW S28 4AI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.38,1.61,1.58,85-87
748,NBC R 65/66 YI DAN #11,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.79,1.61,1.64,"78,79"
763,NBC R 65/66 YI DAN #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.58,1.61,1.46,"78,79"
783,NBC R65.66 BI BOB #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.28,1.61,1.13,"78,79"
849,NBC R65/66 AII BERT #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,4.32,1.61,1.45,"78,79"
1167,WW 4BI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.52,1.61,1.71,85-87
1246,WW Q23 2A,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,100,5,5.70,1.61,2.11,85-87
1319,WW S22 4CI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.72,1.61,1.77,85-87
1506,WW T30 4A+B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.24,1.61,1.27,85-87
1137,SF1092,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,14350,3,5.29,1.61,N/A,40
1216,WW P20 3 #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,5.23,1.61,1.67,85-87
1027,NBC XO BRETT #11,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.17,1.62,1.64,"78,79"
1369,WW S28 2B  #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,5.28,1.62,1.58,85-87
1380,WW S29 4A+B #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.16,1.62,1.49,85-87
693,NBC '79 SQ 5  VERONICA #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6400,4,4.44,1.62,1.80,"78,79"
